,id,iso_code,country,size,un_region,x,y,type,country_source,country_target,path
72,1,,,,Americas,306.01097359822126,741.1565138900717,edge,Mexico,USA,2
73,1,,,,Americas,305.1245219739589,741.9780364925,edge,Mexico,USA,3
74,1,,,,Americas,304.2463219892586,742.7853536574811,edge,Mexico,USA,4
75,1,,,,Americas,303.37604214959026,743.5786789986332,edge,Mexico,USA,5
76,1,,,,Americas,302.51335941171254,744.3582265458946,edge,Mexico,USA,6
77,1,,,,Americas,301.6579591836735,745.1242107455228,edge,Mexico,USA,7
78,1,,,,Americas,300.8095353248101,745.8768464600948,edge,Mexico,USA,8
79,1,,,,Americas,299.9677901457483,746.6163489685074,edge,Mexico,USA,9
80,1,,,,Americas,299.13243440840364,747.3429339659773,edge,Mexico,USA,10
81,1,,,,Americas,298.3031873259805,748.0568175640407,edge,Mexico,USA,11
82,1,,,,Americas,297.47977656297235,748.7582162905535,edge,Mexico,USA,12
83,1,,,,Americas,296.6619382351619,749.4473470896914,edge,Mexico,USA,13
84,1,,,,Americas,295.849416909621,750.1244273219493,edge,Mexico,USA,14
85,1,,,,Americas,295.04196560471047,750.7896747641422,edge,Mexico,USA,15
86,1,,,,Americas,294.2393457900802,751.4433076094041,edge,Mexico,USA,16
87,1,,,,Americas,293.44132738666957,752.0855444671898,edge,Mexico,USA,17
88,1,,,,Americas,292.6476887667068,752.7166043632728,edge,Mexico,USA,18
89,1,,,,Americas,291.8582167537093,753.336706739747,edge,Mexico,USA,19
90,1,,,,Americas,291.0727066224835,753.9460714550249,edge,Mexico,USA,20
91,1,,,,Americas,290.2909620991253,754.5449187838399,edge,Mexico,USA,21
92,1,,,,Americas,289.5127953610194,755.1334694172443,edge,Mexico,USA,22
93,1,,,,Americas,288.7380270368396,755.7119444626103,edge,Mexico,USA,23
94,1,,,,Americas,287.96648620654906,756.2805654436295,edge,Mexico,USA,24
95,1,,,,Americas,287.1980104013998,756.8395543003134,edge,Mexico,USA,25
96,1,,,,Americas,286.4324456039333,757.3891333889928,edge,Mexico,USA,26
97,1,,,,Americas,285.6696462479798,757.9295254823194,edge,Mexico,USA,27
98,1,,,,Americas,284.90947521865894,758.4609537692628,edge,Mexico,USA,28
99,1,,,,Americas,284.1518038523793,758.9836418551134,edge,Mexico,USA,29
100,1,,,,Americas,283.3965119368388,759.4978137614811,edge,Mexico,USA,30
101,1,,,,Americas,282.6434877110242,760.003693926295,edge,Mexico,USA,31
102,1,,,,Americas,281.8926278652117,760.5015072038047,edge,Mexico,USA,32
103,1,,,,Americas,281.1438375409663,760.9914788645783,edge,Mexico,USA,33
104,1,,,,Americas,280.39703033114245,761.4738345955046,edge,Mexico,USA,34
105,1,,,,Americas,279.65212827988336,761.9488004997918,edge,Mexico,USA,35
106,1,,,,Americas,278.9090618826218,762.4166030969673,edge,Mexico,USA,36
107,1,,,,Americas,278.1677700860793,762.8774693228786,edge,Mexico,USA,37
108,1,,,,Americas,277.4282002882667,763.3316265296928,edge,Mexico,USA,38
109,1,,,,Americas,276.6903083384839,763.7793024858968,edge,Mexico,USA,39
110,1,,,,Americas,275.95405853731984,764.2207253762966,edge,Mexico,USA,40
111,1,,,,Americas,275.21942363665283,764.6561238020186,edge,Mexico,USA,41
112,1,,,,Americas,274.48638483965016,765.0857267805081,edge,Mexico,USA,42
113,1,,,,Americas,273.75493180076813,765.5097637455309,edge,Mexico,USA,43
114,1,,,,Americas,273.0250626257524,765.9284645471718,edge,Mexico,USA,44
115,1,,,,Americas,272.29678387163756,766.3420594518354,edge,Mexico,USA,45
116,1,,,,Americas,271.5701105467474,766.7507791422463,edge,Mexico,USA,46
117,1,,,,Americas,270.84506611069486,767.1548547174482,edge,Mexico,USA,47
118,1,,,,Americas,270.121682474382,767.554517692805,edge,Mexico,USA,48
119,1,,,,Americas,269.4,767.95,edge,Mexico,USA,49
120,2,,,,Americas,290.64,659.3,edge,Mexico,Chile,0
121,2,,,,Americas,288.914649943684,658.1756308621926,edge,Mexico,Chile,1
122,2,,,,Americas,287.2036721059408,657.0109626507488,edge,Mexico,Chile,2
123,2,,,,Americas,285.5032490644517,655.8029829390468,edge,Mexico,Chile,3
124,2,,,,Americas,283.8098390421456,654.549008817477,edge,Mexico,Chile,4
125,2,,,,Americas,282.12017590719955,653.2466868934416,edge,Mexico,Chile,5
126,2,,,,Americas,280.4312691730382,651.8939932913555,edge,Mexico,Chile,6
127,2,,,,Americas,278.7404039983341,650.4892336526448,edge,Mexico,Chile,7
128,2,,,,Americas,277.0451411870072,649.0310431357475,edge,Mexico,Chile,8
129,2,,,,Americas,275.34331718822557,647.5183864161139,edge,Mexico,Chile,9
130,2,,,,Americas,273.633044096405,645.9505576862063,edge,Mexico,Chile,10
131,2,,,,Americas,271.912709651209,644.3271806554986,edge,Mexico,Chile,11
132,2,,,,Americas,270.180977237549,642.6482085504772,edge,Mexico,Chile,12
133,2,,,,Americas,268.4367858855839,640.9139241146398,edge,Mexico,Chile,13
134,2,,,,Americas,266.6793502707205,639.1249396084964,edge,Mexico,Chile,14
135,2,,,,Americas,264.9081607136136,637.2821968095692,edge,Mexico,Chile,15
136,2,,,,Americas,263.12298318016536,635.3869670123914,edge,Mexico,Chile,16
137,2,,,,Americas,261.3238592815259,633.4408510285092,edge,Mexico,Chile,17
138,2,,,,Americas,259.5111062740934,631.4457791864802,edge,Mexico,Chile,18
139,2,,,,Americas,257.6853170595134,629.4040113318744,edge,Mexico,Chile,19
140,2,,,,Americas,255.84736018467936,627.3181368272728,edge,Mexico,Chile,20
141,2,,,,Americas,253.99837984173257,625.1910745522697,edge,Mexico,Chile,21
142,2,,,,Americas,252.13979586806204,623.0260729034707,edge,Mexico,Chile,22
143,2,,,,Americas,250.2733037463045,620.8267097944923,edge,Mexico,Chile,23
144,2,,,,Americas,248.40087460434452,618.5968926559651,edge,Mexico,Chile,24
145,2,,,,Americas,246.52475521531443,616.3408584355296,edge,Mexico,Chile,25
146,2,,,,Americas,244.64746799759433,614.0631735978398,edge,Mexico,Chile,26
147,2,,,,Americas,242.77181101481213,611.7687341245604,edge,Mexico,Chile,27
148,2,,,,Americas,240.9008579758434,609.462765514369,edge,Mexico,Chile,28
149,2,,,,Americas,239.03795823481158,607.1508227829546,edge,Mexico,Chile,29
150,2,,,,Americas,237.18673679108784,604.8387904630187,edge,Mexico,Chile,30
151,2,,,,Americas,235.35109428929115,602.5328826042737,edge,Mexico,Chile,31
152,2,,,,Americas,233.5352070192883,600.2396427734452,edge,Mexico,Chile,32
153,2,,,,Americas,231.74352691619367,597.96594405427,edge,Mexico,Chile,33
154,2,,,,Americas,229.98078156036954,595.718989047497,edge,Mexico,Chile,34
155,2,,,,Americas,228.25197417742606,593.5063098708871,edge,Mexico,Chile,35
156,2,,,,Americas,226.56238363822098,591.3357681592131,edge,Mexico,Chile,36
157,2,,,,Americas,224.91756445885989,589.2155550642598,edge,Mexico,Chile,37
158,2,,,,Americas,223.32334680069616,587.1541912548239,edge,Mexico,Chile,38
159,2,,,,Americas,221.78583647033093,585.160526916714,edge,Mexico,Chile,39
160,2,,,,Americas,220.31141491961301,583.2437417527509,edge,Mexico,Chile,40
161,2,,,,Americas,218.9067392456392,581.413344982767,edge,Mexico,Chile,41
162,2,,,,Americas,217.57874219075387,579.6791753436069,edge,Mexico,Chile,42
163,2,,,,Americas,216.33463214254925,578.0514010891269,edge,Mexico,Chile,43
164,2,,,,Americas,215.18189313386532,576.5405199901957,edge,Mexico,Chile,44
165,2,,,,Americas,214.12828484278992,575.1573593346935,edge,Mexico,Chile,45
166,2,,,,Americas,213.18184259265843,573.9130759275125,edge,Mexico,Chile,46
167,2,,,,Americas,212.35087735205428,572.8191560905572,edge,Mexico,Chile,47
168,2,,,,Americas,211.64397573480855,571.8874156627436,edge,Mexico,Chile,48
169,2,,,,Americas,211.07,571.13,edge,Mexico,Chile,49
170,3,,,,Americas,370.88,613.24,edge,Mexico,UK,0
171,3,,,,Americas,370.8198530894648,611.3423465944443,edge,Mexico,UK,1
