,segment,ring,x,y,path,block_id,City,Month,AvgTemperature
0,1,1,3.0,1.83697019872103e-16,1,1,Amsterdam,1,4.037037037037037
1,1,1,2.99956744920854,0.0509422972447873,2,1,Amsterdam,1,4.037037037037037
2,1,1,2.99826992156762,0.101869904402246,3,1,Amsterdam,1,4.037037037037037
3,1,1,2.99610779124163,0.152768135621189,4,1,Amsterdam,1,4.037037037037037
4,1,1,2.99308168171805,0.203622313521482,5,1,Amsterdam,1,4.037037037037037
5,1,1,2.98919246562758,0.254417773426528,6,1,Amsterdam,1,4.037037037037037
6,1,1,2.98444126449255,0.305139867592068,7,1,Amsterdam,1,4.037037037037037
7,1,1,2.97882944840351,0.35577396943012,8,1,Amsterdam,1,4.037037037037037
8,1,1,2.97235863562411,0.4063054777268,9,1,Amsterdam,1,4.037037037037037
9,1,1,2.96503069212448,0.456719820852835,10,1,Amsterdam,1,4.037037037037037
10,1,1,2.95684773104313,0.507002460965547,11,1,Amsterdam,1,4.037037037037037
11,1,1,3.25253250414744,0.557702707062102,12,1,Amsterdam,1,4.037037037037037
12,1,1,3.26153376133692,0.502391802938118,13,1,Amsterdam,1,4.037037037037037
13,1,1,3.26959449918652,0.44693602549948,14,1,Amsterdam,1,4.037037037037037
14,1,1,3.27671239324386,0.391351366373132,15,1,Amsterdam,1,4.037037037037037
15,1,1,3.28288539094181,0.335653854351275,16,1,Amsterdam,1,4.037037037037037
16,1,1,3.28811171219034,0.279859550769181,17,1,Amsterdam,1,4.037037037037037
17,1,1,3.29238984988986,0.223984544873631,18,1,Amsterdam,1,4.037037037037037
18,1,1,3.2957185703658,0.168044949183308,19,1,Amsterdam,1,4.037037037037037
19,1,1,3.29809691372438,0.112056894842471,20,1,Amsterdam,1,4.037037037037037
20,1,1,3.29952419412939,0.0560365269692661,21,1,Amsterdam,1,4.037037037037037
21,1,1,3.3,2.02066721859313e-16,22,1,Amsterdam,1,4.037037037037037
22,1,2,3.3,2.02066721859313e-16,1,38,Amsterdam,2,6.392857142857143
23,1,2,3.29952419412939,0.0560365269692661,2,38,Amsterdam,2,6.392857142857143
24,1,2,3.29809691372438,0.112056894842471,3,38,Amsterdam,2,6.392857142857143
25,1,2,3.2957185703658,0.168044949183308,4,38,Amsterdam,2,6.392857142857143
26,1,2,3.29238984988986,0.223984544873631,5,38,Amsterdam,2,6.392857142857143
27,1,2,3.28811171219034,0.279859550769181,6,38,Amsterdam,2,6.392857142857143
28,1,2,3.28288539094181,0.335653854351275,7,38,Amsterdam,2,6.392857142857143
29,1,2,3.27671239324386,0.391351366373132,8,38,Amsterdam,2,6.392857142857143
30,1,2,3.26959449918652,0.44693602549948,9,38,Amsterdam,2,6.392857142857143
31,1,2,3.26153376133692,0.502391802938118,10,38,Amsterdam,2,6.392857142857143
32,1,2,3.25253250414744,0.557702707062102,11,38,Amsterdam,2,6.392857142857143
33,1,2,3.54821727725175,0.608402953158657,12,38,Amsterdam,2,6.392857142857143
34,1,2,3.55803683054937,0.548063785023402,13,38,Amsterdam,2,6.392857142857143
35,1,2,3.56683036274893,0.48756657327216,14,38,Amsterdam,2,6.392857142857143
36,1,2,3.57459533808421,0.426928763316144,15,38,Amsterdam,2,6.392857142857143
37,1,2,3.58132951739106,0.366167841110482,16,38,Amsterdam,2,6.392857142857143
38,1,2,3.5870309587531,0.305301328111834,17,38,Amsterdam,2,6.392857142857143
39,1,2,3.59169801806166,0.244346776225779,18,38,Amsterdam,2,6.392857142857143
40,1,2,3.59532934948996,0.183321762745426,19,38,Amsterdam,2,6.392857142857143
41,1,2,3.59792390588114,0.122243885282696,20,38,Amsterdam,2,6.392857142857143
42,1,2,3.59948093905025,0.0611307566937448,21,38,Amsterdam,2,6.392857142857143
43,1,2,3.6,2.20436423846524e-16,22,38,Amsterdam,2,6.392857142857143
44,1,3,3.6,2.20436423846524e-16,1,75,Amsterdam,3,7.958781362007168
45,1,3,3.59948093905025,0.0611307566937448,2,75,Amsterdam,3,7.958781362007168
46,1,3,3.59792390588114,0.122243885282696,3,75,Amsterdam,3,7.958781362007168
47,1,3,3.59532934948996,0.183321762745426,4,75,Amsterdam,3,7.958781362007168
48,1,3,3.59169801806166,0.244346776225779,5,75,Amsterdam,3,7.958781362007168
49,1,3,3.5870309587531,0.305301328111834,6,75,Amsterdam,3,7.958781362007168
50,1,3,3.58132951739106,0.366167841110482,7,75,Amsterdam,3,7.958781362007168
51,1,3,3.57459533808421,0.426928763316144,8,75,Amsterdam,3,7.958781362007168
52,1,3,3.56683036274893,0.48756657327216,9,75,Amsterdam,3,7.958781362007168
53,1,3,3.55803683054937,0.548063785023402,10,75,Amsterdam,3,7.958781362007168
54,1,3,3.54821727725175,0.608402953158657,11,75,Amsterdam,3,7.958781362007168
55,1,3,3.84390205035606,0.659103199255211,12,75,Amsterdam,3,7.958781362007168
56,1,3,3.85453989976182,0.593735767108685,13,75,Amsterdam,3,7.958781362007168
57,1,3,3.86406622631134,0.52819712104484,14,75,Amsterdam,3,7.958781362007168
58,1,3,3.87247828292456,0.462506160259155,15,75,Amsterdam,3,7.958781362007168
59,1,3,3.87977364384032,0.396681827869688,16,75,Amsterdam,3,7.958781362007168
60,1,3,3.88595020531585,0.330743105454487,17,75,Amsterdam,3,7.958781362007168
61,1,3,3.89100618623347,0.264709007577927,18,75,Amsterdam,3,7.958781362007168
62,1,3,3.89494012861412,0.198598576307545,19,75,Amsterdam,3,7.958781362007168
63,1,3,3.8977508980379,0.13243087572292,20,75,Amsterdam,3,7.958781362007168
